"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"BT1","Battery","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","1","","",""
"C1","0.1u","Capacitor_SMD:C_1206_3216Metric","~","1","","",""
"C2,C3","22p","Capacitor_SMD:C_1206_3216Metric","~","2","","",""
"C4","1u","Capacitor_SMD:C_1206_3216Metric","~","1","","",""
"C5","100n","Capacitor_SMD:C_1206_3216Metric","~","1","","",""
"D1,D2","LED","LED_SMD:LED_1206_3216Metric","~","2","","",""
"H1,H2,H3,H4","MountingHole","MountingHole:MountingHole_2.1mm","~","4","","Excluded from BOM",""
"IC1","ATMEGA328P-AU","ATMEGA328P-AU:ATMEGA328P-AU","","1","","",""
"J1,J2","Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","2","","",""
"J3","Conn_01x09_Pin","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","~","1","","",""
"J4","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","1","","",""
"R1,R7","330","Resistor_SMD:R_0805_2012Metric","~","2","","",""
"R2,R3","4.7K","Resistor_SMD:R_0805_2012Metric","~","2","","",""
"R4,R5,R6","10K","Resistor_SMD:R_0805_2012Metric","~","3","","",""
"U1,U2","24LC1025","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21941B.pdf","2","","",""
"U3","DS1137S+","DS1337S+:DS1337S+","","1","","",""
"Y1","16 MHz","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","~","1","","",""
"Y2","32.768 KHz","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","~","1","","",""
